Category	Filing	Why is it filed?	When is it filed?	How to tell the difference	Immediate Price Impact	Explanation	Example
	S-3/F-3ASR	Automatic shelf registration	Anytime, available to "Well-Known, Seasoned Issuers (WKSI)", which is defined as a company that exceeded $700m float value anytime in the last 60 days or have issued in the last three years at least $1 billion aggregate amount of non-convertible securities other than common equity, in primary offerings for cash, not exchange.	Will be blank for $ amount (unless contains ATM) and state which types of securities issuable	None-Low	In majority of cases, a company meets the WKSI criteria by exceeding the $700m float value. It's called automatic because it receives EFFECT automatically at the time of filing. This means a company can use the shelf immediately and offer right away. If they offer right away, then it can have material price impact. There is also no limit on the $ amount for this shelf. Sometimes attached with ATM.	https://www.sec.gov/Archives/edgar/data/1707919/000149315221012136/formf-3asr.htm
		Resale - to register previously restricted shares, shares underlying warrants/convertible securities, equity line agreements	Anytime, or contractually within time period specified in the registration rights for any private placement	Filing will specify exactly which shares, whos selling, and how many shares are being registered	None-Low	ASR can also be used for resale purposes as long as the company meets the WKSI criteria, meaning shares are registered the moment it's filed without need for additional wait period for EFFECT.	https://www.sec.gov/Archives/edgar/data/1707919/000114036122000840/ny20001877x1_f3asr.htm
	424B5	ATM	Anytime after EFFECT on shelf	First page will state max $ issuable from time to time and mention "at the market offering" or "equity distribution agreement"	None-Medium	Once filed, co can issue shares on the open market anytime up to the $ amount. Usually filed throughout course of business so market will not know if the company will use immediately. Normally no market impact on filing. Will have impact if it's more obvious co will use immediately, such as filing after a big run up and needs cash badly. Sometimes filed with 424B3.	https://www.sec.gov/Archives/edgar/data/1389002/000119312521251940/d164824d424b5.htm
		Final prospectus disclosing offering details	Shortly after pricing PR	Filing will specify shares issued and price/share inline with PR	None	Prospectus supplement filed to disclose an offering was completed and linked to the shelf it was issued with through the same file number. No impact because the PR would be out first, unless placeholder 424B5 was filed before PR.	https://www.sec.gov/Archives/edgar/data/1541157/000110465922000597/tm221366d1_424b5.htm
		Register shares underlying warrants/convertible securities	Anytime, or contractually within time period specified in the registration rights for any private placement	Filing will specify which warrants or convertible securities are being registered	None	A 424B5 can also be used to register shares underlying warrants/convertible securities, which will reduce capacity room on the shelf. No impact most of the time unless market is highly short sale constrained.	https://www.sec.gov/Archives/edgar/data/1419275/000118518521001583/greenbox20211103b_424b5.htm
	424B3	Filed after resale registration receives EFFECT	After resale registration receives EFFECT	First page will match the original resale registration filing	None-Low	Customary filing after resale registration receives EFFECT. Shares officially registered after this and may have material impact over time if unlocked shares greatly exceed current trading float or after a short squeeze.	https://www.sec.gov/Archives/edgar/data/1858685/000149315221032428/form424b3.htm
		Amend prior filing	When there is additional material disclosure required	First page will mention amendment	None	Usually filed if new material development occurs while prior S-1/F-1 filing is still active. No impact because it will usually contain the same disclosure as the 8-k.	https://www.sec.gov/Archives/edgar/data/1232582/000123258222000009/aht2021q4revparot424b3.htm
	RW	Withdrawal of registration filing	After initial filing and whenever co wants to withdraw it	Check which filing it's linked to by clicking the file number	Low-Medium	Co may decide to withdraw a prior registration such as S-1 or S-3. If the market was already partially pricing in an offering such as one signaled by an S-1, then the public disclosure of RW may cause a pop because it signals that the company is cancelling the offering. Less impact if RW for resale.	https://www.sec.gov/Archives/edgar/data/1590418/000168316821004669/focus_rw.htm
Financials	10-Q	Quarterly financials	Deadline 45 days after quarter end for <$75m float value filer, 40 days for others. 99% of the time filed after earnings PR.	N/A	None-Low	Discloses updated financials and any additional required disclosures since last quarter. Only immediate impact if earnings PR not released yet and 10-Q filed beforehand with financials materially different from market expectations. Quarterly financials for foreign firms not required but may be disclosed in form 6-k.	https://www.sec.gov/ix?doc=/Archives/edgar/data/7623/000143774921023663/artw20210831_10q.htm
	10-K	Annual financials	Deadline 90 days after fiscal year end for <$75m float value filer, 75 days for $75m-$700m, 60 days for >$700m. 99% of the time filed after earnings PR.	N/A	None-Low	Discloses updated financials and any additional required disclosures. Only immediate impact if earnings PR not released yet and 10-K filed beforehand with financials materially different from market expectations	https://www.sec.gov/Archives/edgar/data/7623/000143774921002312/artw20201130_10k.htm
	20-F	Annual financials for foreign co	Deadline 4 months after year end	N/A	None-Low	Discloses updated financials and any additional required disclosures. Only immediate impact if earnings PR not released yet and 20-F filed beforehand with financials materially different from market expectations	https://www.sec.gov/Archives/edgar/data/1782309/000110465921093937/tm2114176d1_20f.htm
	40-F	Annual financials for CAD co	Due the same day as the issuer’s annual report is due to be filed in Canada	N/A	None	Canadian version of 20-F	https://www.sec.gov/ix?doc=/Archives/edgar/data/1690947/000106299321009977/form40f.htm
Material Disclosures	8-K	Disclosure for material event/change	Within 4 days of the event. 99% of time PR before 8-k, or no PR	Filing will have categories describing the type of event and details. If filed with PR, exhibits will contain PR.	None-High	Main categories are: Earnings, business updates, listing status, M&A activity, acquisitions/dispositions, changes in control or management, change in auditors, securities issuances, and bankruptcies/restructuring. If the filing is material and publicly released before the PR, then will move markets depending on severity of the event. See attached exhibits for raw documents of material contracts, purchase agreements, and other legal documents	https://www.sec.gov/ix?doc=/Archives/edgar/data/1080657/000149315222000686/form8-k.htm
	6-K	Disclosure for material event/change for foreign firm	"promptly" after the event. 99% of time PR before 6-k, or no PR	Filing will have categories describing the type of event and details. If filed with PR, exhibits will contain PR.	None-High	If the filing is material and publicly released before the PR, then will move markets depending on severity of the event. See attached exhibits for raw documents of material contracts, purchase agreements, and other legal documents	https://www.sec.gov/Archives/edgar/data/1696396/000156459022000689/mito-6k_20220131.htm
Ownership	SC 13D	Initial ownership disclosure for activist stakes	Within 10 days of acquisition > 5% o/s	Filing will state who filed, how many shares or derivatives owned, and % of ownership	None-Medium	Main difference between 13D and 13G is purpose of stake, 13D for those with intent on having influence over the company and 13G for passive investors. May have positive price impact if a prominent investor acquires a large activist stake or significant % of the float. Filing will also disclose details on why the investor bought and each transaction of the investor.	https://www.sec.gov/Archives/edgar/data/353184/000089706914000369/cg433.htm
	SC 13G	Initial ownership disclosure for passive stakes	Within 45 days of acquisition > 5% o/s, within 10 days for >10%	Filing will state who filed, how many shares or derivatives owned, and % of ownership	None-Medium	May have positive price impact if a prominent investor acquires a large stake or significant % of the float.	https://www.sec.gov/Archives/edgar/data/1121702/000092963820000859/sc13g.htm
	SC 13D/A	Disclose ownership changes for activist stakes, or change in purpose of transaction	Within 2 days whenever ownership changes >1% of o/s or falling below 5%	Filing will state who filed, new # of shares or derivatives owned, and % of ownership	None-Low	May have positive/negative price impact depending on magnitude of change and which investor bought/sold. Will also disclose each transaction of the investor.	https://www.sec.gov/Archives/edgar/data/353184/000089706915000315/cg585.htm
	SC 13G/A	Disclose ownership changes for passive stakes	"All filers: once a year within 45 days after the year end if any changes. Within 2 days of falling below 5% 
Qualified Institutional investors: within 10 days after the end of the first month when >10% stake and within 10 days of the end of any month for any changes > 5% of o/s
Passive investors: Within 2 days when going over 10% and within 2 days whenever ownership changes more >5% of o/s."	Filing will state who filed, new # of shares or derivatives owned, and % of ownership	None-Low	May have positive/negative price impact depending on magnitude of change and which investor bought/sold	https://www.sec.gov/Archives/edgar/data/1121702/000092963821000068/sc13g.htm
	Form 3	Initial filing of insider	Within 10 days of becoming an insider	Filing will state who filed, # of shares/derivatives owned, and position of person	None	Only filed once when a person becomes an officer, even if holding 0 shares. See link under form 3 for details of codes.	https://www.sec.gov/Archives/edgar/data/1717556/000149315221022545/xslF345X02/ownership.xml
	Form 4	Transaction of insider	Within 2 days of transaction	Filing will state who filed, date of transaction, # of shares/derivatives transacted at what price, and position of person	None-Medium	If an important insider purchases or sells a large stake, market may react to it as positive/negative signal. Make sure to read footnotes as to how the shares were purchased or sold. Sometimes part of automated plan.	https://www.sec.gov/Archives/edgar/data/1318605/000089924321049992/xslF345X03/doc4.xml
	Form 5	Omitted transaction of insider	Within 45 days of year end	Filing will state who filed, date of transaction, # of shares/derivatives transacted at what price, and position of person	None	Only filed if an earlier transaction was not reported.	https://www.sec.gov/Archives/edgar/data/1582982/000149315222000728/xslF345X03/ownership.xml
Proxies	PRE 14A	Preliminary Proxy	At least 10 calendar days prior to when the definitive proxy is sent out	Proxy will mention it's preliminary and contain the list of proposals that require a shareholder vote	None	Only required for non-annual shareholder meetings, so usually special meetings for one-off items such as reverse splits, authorized share increases etc.	https://www.sec.gov/Archives/edgar/data/1309082/000147793221007950/cei_pre14a.htm
	DEF 14A	Definitive Proxy	After the preliminary proxy, or within 120 days after year end for the annual meeting proxy	Proxy will contain the list of proposals that require a shareholder vote	None	Most companies have one standard annual shareholder meeting per year so they will have at least one DEF 14A per year. Proxies can also contain some information not found in other filings, such as major shareholders, insider ownership, and executive compensation schemes	https://www.sec.gov/Archives/edgar/data/1309082/000147793221008829/cei_def14a.htm
	DEFM14A	Proxy related to merger	After merger is announced	Proxy will contain merger related proposals	None	Proxy specifically for voting on proposals related to merger. Will contain details related to merger structure and the parties involved with the merger.	https://www.sec.gov/Archives/edgar/data/1499961/000143774921017582/nete20210726_defm14a.htm
	PREC14A, PRRN14A, DFAN14A	Proxies filed during proxy war	When a shareholder group has their own proposals or board nominees different from incumbent board proposals	Proxy will contain activist proposals	None-low	Depending on what the activist is pushing for, may have material impact if trying to push for sale or some immediate value realization 	https://www.sec.gov/Archives/edgar/data/1772028/000110465921152636/tm2136154-1_dfan14a.htm
Other less relevant forms	S-4/F-4	Registration for shares issued in connection with a merger	After a merger is announced	Filing will contain which shares are being registered and merger details	None	Filed when shares that are issued to a merger target need to be registered. Also filed for exchange offers.	https://www.sec.gov/Archives/edgar/data/1499961/000143774921012366/nete20210512_s4.htm
	425	Additional disclosure related to merger	After S-4 is filed, when new information needs to be disclosed related to the merger	Will contain the disclosure items, should match accompanying 8-k that's filed	None	Will be close to identical to the 8-k disclosing any material event	https://www.sec.gov/Archives/edgar/data/1828972/000110465921139164/tm2132910d1_8k.htm
	1-A	Prospectus for offering under Regulation A+	Anytime co wants to raise funds from public but under rules for Regulation A+	Looks similar to IPO S-1 for exhibit PART II of filing	None	Regulation A+ is a legal process of fundraising that's similar to crowdfunding. Allows more solicitation of IPO demand by the co through social media and other means not allowed in S-1 IPO. Historically, very low quality companies IPO through this path.	https://www.sec.gov/Archives/edgar/data/1872356/000110465921117958/xsl1-A_X01/primary_doc.xml
	1-U, 1-K, 1-SA	Regulation A+ equivalents of 8-k, 10-K, 10-Q	Within 4 days of event for 1-U, within 120 days of year end for 1-K, within 90 days of mid year for 1-SA	N/A	None	Same as equivalents. Regulation A+ companies only require one semi-annual (1-SA) report instead 10-q each quarter. Most Reg A+ companies convert to normal reporting company after IPO.	
	13F-HR	Disclose positions of an institutional investor that has >$100m AUM	Within 45 days of each quarter end	Filing will list each position of the investor	None-Low	Required disclosure filed by investment funds greater than $100m AUM. May have market impact if a prominant investor adjusts its stake in a company, if not already disclosed in 13G/D	https://www.sec.gov/Archives/edgar/data/1067983/000095012322002973/xslForm13F_X01/0000950123-22-002973-9815.xml
	S-8	Register shares given in employee benefit plans	Anytime	Filing will mention shares and options issued as part of employee benefit plan	None	Special registration for shares given in employee benefit plans, less disclosures in S-8 so faster to file. No impact as these shares are usually sold in small amounts and over a long period of time.	https://www.sec.gov/Archives/edgar/data/1717556/000149315221025721/forms-8.htm
